Variable,Units,Description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/05/2012,2012,5,NA,NA,NA,1.066725995,0,-0.91,-0.504857143,12.7,3.8,8.2,9.1,8.5,26.1,1460.9,85,1001.6,10.6,10.5,10.4,10.3,10.2,10.2,3.5,5.1,2.096,2.096,20.409,0.420815,0.157145184,0.105515719,13.24285714,5.985714286,9.585714286,1.728571429,9.842857143,24.95714286,1404.814286,74.34285714,1011.985714,11.15714286,11.11428571,10.95714286,10.77142857,10.38571429,9.971428571,5,4.2,1.924930428,1.924930428,23.14069677,0.341338542,0.13838549,0.076442455
14/05/2012,2012,5,111.6,76.6,180,1.066725995,0,-0.91,-0.314571429,11.4,4.3,7.8,6,17,38.2,1895,76.7,1012.2,9.8,9.7,9.9,10.1,10.3,10.3,2.4,11,3.494,3.494,2.984,1.693648333,0.5354516,0.208153271,11.61428571,4.814285714,8.228571429,5.028571429,12.3,30.22857143,1685.885714,77.72857143,1014.9,10.51428571,10.35714286,10.38571429,10.37142857,10.32857143,10.21428571,1.942857143,6.842857143,2.53934004,2.53934004,14.57765328,0.887031056,0.323819577,0.160228867
21/05/2012,2012,5,71.6,NA,89.3,1.066725995,0,-0.91,-0.103,16.9,10.3,13.6,0.5,9.3,24.7,947.6,85.3,1006.6,13.8,13.6,12.9,12.3,11.4,10.5,10.1,1,1.399,1.399,4.907,1.342100833,0.174768221,0.08513321,13.15714286,6.842857143,10.01428571,1.6,8.485714286,23.34285714,1371.042857,82,1012.671429,11.68571429,11.47142857,11.11428571,10.85714286,10.57142857,10.35714286,6.057142857,2.528571429,1.629544664,1.629544664,2.044944918,1.650310685,0.344806654,0.119301503
28/05/2012,2012,5,40,48,55,1.066725995,0,-0.91,-0.060142857,22.6,13.2,17.9,0,8.7,24.6,2656.3,65.7,1013.1,20.9,21.7,20.9,19,16.2,12.4,10.6,12.6,5.048,5.048,32.848,0.697101042,0.126630436,0.070538275,22.75714286,13.3,18.02857143,0.4,10.3,25.4,2282.471429,69.61428571,1017.014286,18.65714286,18.65714286,17.54285714,16.05714286,13.94285714,11.4,11.91428571,10.27142857,4.391664079,4.391664079,17.31595746,0.918297842,0.151580992,0.07615664
04/06/2012,2012,6,92,98,105,1.22734694,0,-2.53,-1.861,17.6,8.2,12.9,0,6.3,17,1809.7,70.7,1013.7,15.5,15.2,14.8,14.7,14.5,13.6,7.1,4.3,2.312,2.312,14.053,1.482241875,0.255841596,0.099798517,17.25714286,11.1,14.15714286,4.457142857,5.871428571,17.15714286,1180.085714,85.8,1012.657143,16.98571429,16.97142857,16.87142857,16.5,15.64285714,13.3,9.985714286,2.1,1.772075823,1.772075823,23.14613788,1.004697857,0.319832865,0.092093449
11/06/2012,2012,6,91.6,102,120,1.22734694,0,-2.53,-1.446571429,17.5,8.7,13.1,2.4,9.2,19,1589.9,84.7,1004.5,15.8,15.7,15.6,15.3,14.5,13.4,7.6,5.3,2.601,2.601,9.006,6.614100833,0.212427165,0.194007209,15.71428571,8.9,12.3,8.357142857,10.52857143,26.27142857,1554.028571,84.12857143,999.9,14.9,14.74285714,14.57142857,14.4,14.1,13.5,7.771428571,5.142857143,2.513427123,2.513427123,7.063627418,9.994878943,1.755201525,0.832527825
18/06/2012,2012,6,114.6,96.3,167.6,1.22734694,0,-2.53,-0.873142857,13.9,8,10.9,5.6,5.8,16.9,1274.1,88.8,1010.9,14.8,14.7,14.8,14.5,14,13.3,6.1,3.5,2.005,2.005,1.247,2.940933854,0.358298802,0.106934229,14.48571429,9.171428571,11.82857143,3.514285714,10.12857143,23.35714286,1407.428571,84.18571429,1005.971429,14.37142857,14.24285714,14.15714286,14.07142857,13.95714286,13.47142857,7.985714286,3.271428571,1.998170649,1.998170649,4.546711303,4.002420223,0.361224118,0.207918377
25/06/2012,2012,6,156.6,148,231.3,1.22734694,0,-2.53,-0.811285714,19.5,9.2,14.4,0,5.8,16.7,1912,76,1013.8,17.4,17.1,16.3,15.6,14.6,13.6,7.8,4.5,2.519,2.519,5.86,4.761627604,0.966939986,0.117942969,16.48571429,10.02857143,13.25714286,3.771428571,8.257142857,20.95714286,1498.771429,84.8,1009.014286,15.71428571,15.5,15.07142857,14.72857143,14.25714286,13.52857143,8.571428571,3.971428571,2.326068972,2.326068972,2.94145586,4.327072396,0.846323521,0.291214944
02/07/2012,2012,7,223,172.6,337.33,1.314724368,0,-1.32,-1.058,19.9,12.9,16.4,0.7,4.4,13.9,1643.3,90.6,1003.1,17.8,17.4,16.1,15.4,14.8,14.2,12.9,3.4,2.288,2.288,1.588,8.932911667,0.893939352,0.275031249,16.8,11.71428571,14.25714286,6.714285714,8.871428571,22.75714286,1268.9,92.1,1001.614286,16.52857143,16.4,16.04285714,15.67142857,15.15714286,14.05714286,11.3,2.242857143,1.87013271,1.87013271,0.872014814,7.134797961,1.223621872,0.309695143
09/07/2012,2012,7,108.3,125.3,183,1.314724368,0,-1.32,-0.734142857,13.4,10.2,11.8,3.4,12.3,29.3,749.7,90.4,1011.2,14.2,14.2,14.6,15,15.3,14.8,9.6,0,1.134,1.134,0.955,2.142216979,0.332346544,0.242273321,16.84285714,11.85714286,14.34285714,2.628571429,10,21.54285714,1014.857143,91.25714286,1006.7,16.68571429,16.57142857,16.41428571,16.2,15.68571429,14.5,11.05714286,1.042857143,1.523503731,1.523503731,1.140362917,4.044303557,0.343033518,0.15736937
16/07/2012,2012,7,84,75,117,1.314724368,0,-1.32,-1.240714286,17.5,12.4,15,2.2,6.7,18.6,853.5,95.4,1011.5,16.8,16.7,16.4,16,15.3,14.5,12.2,1.2,1.522,1.522,13.565,1.103176875,0.18384158,0.079719772,16.32857143,9.642857143,13.01428571,0.542857143,9.071428571,23.64285714,1706.828571,83.12857143,1008.6,15.82857143,15.62857143,15.37142857,15.24285714,15.05714286,14.57142857,7.785714286,4.471428571,2.344187551,2.344187551,9.470676302,1.767036086,0.276750439,0.116667044
23/07/2012,2012,7,200.3,153.6,324.6,1.314724368,0,-1.32,-0.691571429,17.2,13,15.1,12.4,5.9,15.9,1001.3,97.2,1012.4,16.9,16.8,16.3,16,15.4,14.7,12.1,1.5,1.566,1.566,0,5.247344063,2.15308911,0.801111824,17.34285714,11.7,14.51428571,5.642857143,8.185714286,21.5,1009.228571,87.91428571,1013.785714,16,15.88571429,15.68571429,15.58571429,15.28571429,14.62857143,10.1,1.285714286,1.507491174,1.507491174,1.341644854,2.975210506,0.959979674,0.304839996
30/07/2012,2012,7,260.6,197.3,363.3,1.314724368,0,-1.32,-0.112714286,18.9,8.1,13.5,0.1,4.7,13.2,2386,79.4,1010.3,16.9,16.4,15.7,15.4,15.1,14.9,2.7,10.9,3.916,3.916,6.475,1.538607188,0.27208524,0.130087935,17.25714286,10.44285714,13.82857143,2.557142857,8.085714286,20.24285714,1704.528571,82.44285714,1013.5,16.45714286,16.3,16.11428571,15.95714286,15.67142857,14.87142857,7.757142857,6.357142857,2.788546048,2.788546048,4.049588693,2.338620759,0.414132701,0.142981257
06/08/2012,2012,8,107,129.3,156,1.177963141,0,-0.98,-0.899714286,16.7,10.8,13.8,1.1,4.8,15.2,1153.7,88.7,1007.5,16.3,16,15.6,15.4,15.3,14.8,8.9,0.9,1.255,1.255,3.961,1.53259875,0.245271349,0.085305423,16.78571429,11.92857143,14.37142857,3.785714286,10.64285714,23.47142857,855.5857143,89.18571429,1000.714286,15.67142857,15.6,15.54285714,15.47142857,15.32857143,14.85714286,10.45714286,2.885714286,1.832507551,1.832507551,1.84086515,4.708170476,1.088588481,0.400765998
13/08/2012,2012,8,NA,NA,NA,1.177963141,0,-0.98,-0.114428571,20.4,14,17.2,1.7,9.8,24.7,1411.7,88.7,997.2,18.8,18.8,18.7,18.3,17.7,15.8,12,5,2.406,2.406,20.606,0.884944375,0.451011178,0.068172767,22.7,13.92857143,18.31428571,0.528571429,7.171428571,18.17142857,1673.671429,83.07142857,1012.971429,19.87142857,19.67142857,19.02857143,18.21428571,17.02857143,15.27142857,12.27142857,6.385714286,2.906359976,2.906359976,15.3415793,0.900409167,0.287272734,0.073040444
20/08/2012,2012,8,119.66,166,182.33,1.177963141,0,-0.98,-1.108,19.9,13.3,16.6,1.8,9.2,22.9,1397.2,90.7,1011.2,18.3,18.2,17.8,17.5,17.2,16.2,9.2,3.4,1.861,1.861,9.462,1.046600208,0.410916042,0.089069937,20.28571429,13.92857143,17.1,3.8,9.914285714,24.72857143,1254.071429,86.11428571,1001.542857,18.41428571,18.31428571,18.05714286,17.7,17.31428571,16.07142857,12.62857143,4.457142857,2.208048952,2.208048952,11.50524621,0.963979435,0.336108831,0.085672912
27/08/2012,2012,8,211.6,191.6,334,1.177963141,0,-0.98,-0.393285714,18.1,12.3,15.2,3.9,13.7,31.8,1477.2,86.5,996.1,16.4,16.3,16,15.8,15.9,15.9,10.1,7.1,2.621,2.621,0,2.92807,0.6321118,0.18523879,17.58571429,11.52857143,14.52857143,5.928571429,9.614285714,25.74285714,1182.914286,89.41428571,1004.6,16.2,16.2,16.25714286,16.25714286,16.5,16.11428571,9.585714286,4.128571429,1.920181947,1.920181947,0.269297403,3.56603695,0.714801496,0.23479671
03/09/2012,2012,9,159,178.3,279.33,1.242641263,0,-0.59,0.383,18.8,12.3,15.5,6.3,7.6,25.7,261.9,95.3,1019.9,15.2,15.3,15.2,15.1,15.4,15.4,10.3,1.3,1.139,1.139,0,2.969959167,1.094212584,0.169071413,17.17142857,11.44285714,14.31428571,5.328571429,9.942857143,26.31428571,785.4142857,88.08571429,1015.085714,15.01428571,15.02857143,15.05714286,15.04285714,15.45714286,15.6,8.971428571,2.028571429,1.307059705,1.307059705,0.38163007,4.023391726,1.137476464,0.21148918
10/09/2012,2012,9,204,177.3,276,1.242641263,0,-0.59,0.036285714,13.2,8.7,11,7.1,6.1,25.1,506.5,87.3,1002.4,14.1,14.2,14.7,14.5,15.3,15.3,7.7,0.2,0.729,0.729,0,2.052176667,0.932513537,0.140770362,16.85714286,10.71428571,13.77142857,2.128571429,8.014285714,23.45714286,880.1285714,88.98571429,1015.442857,15.3,15.27142857,15.25714286,14.97142857,15.34285714,15.27142857,8.457142857,2.614285714,1.35758038,1.35758038,2.903380499,1.899369048,0.53566005,0.111866523
17/09/2012,2012,9,203,126,364,1.242641263,0,-0.59,0.114714286,15.1,9.1,12.1,7.6,12.4,33.6,1020.1,84.3,1004.3,12.5,12.7,13.2,13,14.3,14.7,6.5,4.8,1.609,1.609,0,2.297916771,0.545149221,0.157696705,15.57142857,10.25714286,12.9,4.971428571,11.44285714,32.1,1000.942857,84.95714286,1009.757143,13.64285714,13.72857143,13.88571429,13.54285714,14.54285714,14.92857143,8.328571429,4.685714286,1.659973215,1.659973215,0.674200688,2.595084732,0.620161275,0.157182971
24/09/2012,2012,9,186,120,312,1.242641263,0,-0.59,-1.085428571,10.8,8.7,9.8,9.4,7.6,22.3,315,93.2,992.8,11.4,11.6,12.1,11.8,13,13.9,8.1,0,0.556,0.556,0,8.084238646,1.604097989,0.4203256,14.08571429,7.957142857,11.02857143,7.971428571,7.785714286,20.62857143,861.4714286,84.71428571,1010.685714,11.97142857,12.05714286,12.3,12.07142857,13.34285714,14.25714286,5.814285714,3.842857143,1.32663017,1.32663017,0.942284588,3.924471354,0.934837265,0.210304022
01/10/2012,2012,10,138.6,88,206,0.779280262,0,-2.06,-0.573714286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.7,1.394,1.394,0,8.979984792,0.691552094,0.215394675,14.41666667,9.116666667,11.75,8.55,12.63333333,31.35,669.2333333,87.8,1003.35,3.733333333,11.73333333,11.76666667,3.683333333,12.5,13.53333333,2.75,2.857142857,1.076118903,1.076118903,0,8.813524108,1.751054994,0.622595447
08/10/2012,2012,10,NA,NA,NA,0.779280262,0,-2.06,-0.578428571,13.5,7.9,10.7,0,8.6,23.3,707,76.3,1013.5,0,10.2,10.3,0,11.2,12.6,0,5.2,1.297,1.297,4.084,1.927282813,0.176928776,0.078653149,13.36666667,6.383333333,9.883333333,2.866666667,6.866666667,21.36666667,742.3833333,85.4,1007.233333,3.366666667,9.983333333,10.25,3.333333333,11.58333333,12.95,1.366666667,4.242857143,1.166523629,1.166523629,1.352029396,6.669167277,0.736946565,0.298737943
15/10/2012,2012,10,NA,NA,NA,0.779280262,0,-2.06,-0.303285714,10,4.2,7.1,4.3,8.5,26.9,452.7,93.9,994.1,0,8.1,8.6,0,10.3,12,0,1.5,0.574,0.574,0,1.540530313,0.301260677,0.099862858,12.77142857,5.014285714,8.885714286,3.371428571,7.214285714,21.5,658.2571429,87.36666667,1003.114286,0,9.028571429,9.371428571,0,10.77142857,12.28571429,0,3.828571429,0.980551566,0.980551566,0.91126987,2.146492232,0.49063436,0.144512589
22/10/2012,2012,10,82.6,84,94.6,0.779280262,0,-2.06,-1.202857143,14.5,8,11.3,0,7.5,19.8,853,84.4,1019,0,10.4,10.4,0,11.1,11.8,0,6.1,1.213,1.213,3.243,1.393601146,0.166155375,0.073453811,13.15714286,8.057142857,10.6,1.885714286,9.485714286,24,669.2857143,84.85714286,1001.528571,2.857142857,10.01428571,9.942857143,0,10.67142857,11.8,2.2,3.228571429,0.840232229,0.840232229,0.915048491,2.937241384,0.393315873,0.243839152
29/10/2012,2012,10,NA,NA,NA,0.779280262,0,-2.06,-1.822285714,10.5,5.2,7.9,2.7,7.7,24,479.7,86.4,1008.1,0,7.8,8.1,0,9.8,11.4,0,1.8,0.5,0.5,0,4.426101875,0.682499577,0.243348277,11.45714286,6.642857143,9.071428571,3.571428571,8.357142857,24.08571429,466.1857143,82.54285714,1017.557143,1.171428571,9.1,9.371428571,1.2,10.65714286,11.72857143,0,2.785714286,0.660729675,0.660729675,3.248485275,2.317037708,0.535139941,0.186459153
05/11/2012,2012,11,99,73.6,161.6,0.810128393,0,-0.58,-1.607142857,10.8,2.8,6.8,1.1,6.7,23.8,589.2,88,1011.3,0,5.7,6.1,0,8,10.2,0,3,0.552,0.552,0,3.771028958,0.284729442,0.122304744,9.214285714,3.328571429,6.285714286,4.657142857,9.828571429,31.45714286,459.8857143,87.72,987.5714286,0.983333333,6.485714286,6.914285714,4.342857143,8.8,10.77142857,0,1.471428571,0.413371762,0.413371762,0,5.537257649,0.823647235,0.24112214
12/11/2012,2012,11,128.6,92.3,203.3,0.810128393,0,-0.58,0.067428571,12.1,6.5,9.3,9.6,8.6,23.4,131.9,98.9,1006.9,9,8.8,8.2,0,8.5,9.9,0,0,0.226,0.226,0,9.979857396,3.233061,0.69915116,11.11428571,6.957142857,9.042857143,6.771428571,9.6,28.04285714,397.2428571,89.52857143,1007.985714,4.528571429,8.057142857,7.985714286,0.928571429,8.685714286,10,0,1.942857143,0.441660737,0.441660737,0.058692809,6.321054435,1.421099772,0.448644543
19/11/2012,2012,11,135.3,105.6,186.6,0.810128393,0,-0.58,0.423428571,12.1,8.3,10.2,7.8,13.8,39.4,153.7,96.2,988.1,0,8.8,8.1,0,8.1,9.8,0,0,0.2,0.2,0,47.09977438,6.755756838,6.14318647,10.71428571,6.1,8.4,6.8,7.828571429,24.88571429,225.4428571,92.02857143,1006.657143,3.985714286,7.957142857,8.1,0,8.928571429,9.928571429,0,0.8,0.274719696,0.274719696,0,16.16167612,2.751044873,1.73317063
26/11/2012,2012,11,119,94,161,0.810128393,0,-0.58,-0.446428571,8.9,4.5,6.7,2.5,15.9,36.2,331.6,80.4,1009.9,4.2,4.3,4.4,4.8,6.3,9,0,4.9,0.533,0.533,0,3.184432917,0.341309461,0.157498689,7.928571429,3.728571429,5.828571429,4.4,9.828571429,28.32857143,235.4571429,87.58571429,998.8714286,2.728571429,4.614285714,5.042857143,2.128571429,7.657142857,9.414285714,0,1.685714286,0.295195609,0.295195609,0.06604596,10.43301804,0.96418209,0.414034723
03/12/2012,2012,12,141.3,94.6,211,0.810128393,0,0.17,-0.227571429,8.5,4.1,6.3,5.3,12.9,40.4,185.1,82.3,1003.9,4.9,5.1,5.4,0,6.3,7.9,0,1.9,0.275,0.275,0,6.638100104,1.215646116,0.515048259,7.766666667,2.816666667,5.283333333,5.583333333,6.166666667,19.95,183.2333333,91.85,1011.866667,2.416666667,4.183333333,4.466666667,3.833333333,5.933333333,8.2,0,2.128571429,0.298584429,0.298584429,0.00879843,3.301349122,0.798289074,0.280491022
10/12/2012,2012,12,106,86.3,155.33,0.609059188,0,0.17,-0.211142857,5.3,0.9,3.1,0,6.9,18.5,229.5,86.3,1024.4,0,3.1,4.1,0,6,7.5,0,2.8,0.291,0.291,0.291,3.217467917,0.273475672,0.153691737,7.757142857,2.385714286,5.071428571,4.728571429,9.271428571,26.78571429,160.5857143,86.35714286,1014.457143,1.171428571,4.157142857,4.485714286,1.257142857,5.8,7.642857143,0,1.5,0.227676448,0.227676448,0.041575784,6.628576429,0.888348435,0.437855756
17/12/2012,2012,12,124.6,84.6,177.6,0.609059188,0,0.17,-0.461571429,9.8,5,7.4,4.1,7.7,33.3,169.2,91.5,996.2,6.1,6.1,6.1,0,6.3,7.2,0,1.5,0.238,0.238,0,6.398353854,1.335659379,0.884633058,4.642857143,2.071428571,3.357142857,1.842857143,7.357142857,20.64285714,146.86,91.58333333,994.35,2.771428571,3.5,3.671428571,1.6,4.657142857,6.228571429,0.314285714,1.3,0.196435938,0.196435938,0.217162073,2.609026458,0.534755182,0.267317816
24/12/2012,2012,12,122,93.5,175,0.609059188,0,0.17,-0.473428571,9.6,4.9,7.2,3.6,8.2,23.2,216.9,91.2,986.8,6.5,6.6,7,0,7.5,7.7,0,3,0.358,0.358,0,6.216282813,0.410590746,0.241247794,9.514285714,5.428571429,7.457142857,4.828571429,9.528571429,32.35714286,165.7571429,94.3,995.8571429,5.642857143,6.771428571,6.7,0,6.828571429,7.442857143,2.471428571,1.257142857,0.228479681,0.228479681,0,5.269763616,1.093373225,0.469636278
31/12/2012,2012,12,NA,NA,NA,0.609059188,0,0.17,0.824428571,10.7,3.9,7.3,2.8,16.6,42.2,198,81.7,990.3,0,6.7,6.7,0,6.7,7.6,0,1.1,0.242,0.242,0,15.92605979,2.297140202,0.7150977,9.842857143,3.9,6.885714286,6.857142857,14.25714286,40.34285714,124.7142857,85.61428571,992.4428571,2.842857143,5.8,5.971428571,0,6.728571429,7.671428571,0,0.785714286,0.203463541,0.203463541,0,8.933616503,1.664944261,0.775861079
07/01/2013,2013,1,101,71.3,129.3,0.696413196,0,0.35,0.417571429,11.6,9.8,10.7,20.9,10,21.9,36.3,98.5,1011.3,9.5,9.4,8.9,0,8.2,8.1,9.4,0,0.161,0.161,0,34.25260583,8.406992933,2.35222046,11.02857143,7.042857143,9.028571429,10.22857143,9.6,27.3,93.11428571,93.58571429,1018.628571,4.528571429,8,7.714285714,0.785714286,7.514285714,7.728571429,4.3,0.242857143,0.166616837,0.166616837,0.021286411,13.2223385,3.055043819,1.119717259
14/01/2013,2013,1,99,89,177.3,0.696413196,0,0.35,-0.161428571,8.2,3.3,5.8,7.5,14.2,37.5,188.8,81.2,1013.6,0,4.7,5,0,6.1,7.6,0,1.3,0.257,0.257,0,2.763709896,0.760364396,0.194956441,6.857142857,2.814285714,4.842857143,1.728571429,8.514285714,24.9,216.6714286,89.51428571,1013.128571,0,3.214285714,3.428571429,0,5.142857143,5.728571429,0,1.5,0.256053668,0.256053668,0.120090934,8.646446385,0.885990345,0.230100161
21/01/2013,2013,1,88.6,91.3,118.6,0.696413196,0,0.35,0.266428571,4.2,0.2,2.2,0,6.7,16.1,276.3,86.1,991.3,0,2.2,2.7,3.3,4.9,7,0,1,0.237,0.237,0.511,4.131423854,0.239312827,0.143623607,5.142857143,2.742857143,3.928571429,5.342857143,8.071428571,22.27142857,198.1142857,91.91428571,997.0571429,1.671428571,2.285714286,2.471428571,0.471428571,4.785714286,6.2,0,0.628571429,0.208486597,0.208486597,0.112101949,7.584730313,1.485101348,0.590818336
28/01/2013,2013,1,107,52,146,0.696413196,0,0.35,0.096571429,10.3,4.2,7.2,5.8,18.5,58.1,208.4,NA,984.8,0,4.9,4.5,0,4.9,6.2,0,0.6,0.275,0.275,0,14.12438719,1.313414376,0.583675831,6.471428571,2.271428571,4.371428571,7.1,11.98571429,34.62857143,152.2285714,90.52,995.0571429,0.8,3.085714286,3.371428571,1.185714286,3.914285714,6.428571429,0,0.528571429,0.230661746,0.230661746,0.058181569,8.703736831,1.674274263,0.802444999
04/02/2013,2013,2,58,26,75,0.456315364,0,-0.45,0.837571429,8.5,1.9,5.2,7.2,22.8,51.5,378.4,72.2,1008.2,0,5.7,6.2,0,6.3,6.5,0,2.1,0.453,0.453,0,5.789398438,0.643119845,0.25047696,9.757142857,4.442857143,7.085714286,6.628571429,14.27142857,42.97142857,327.6714286,83.76666667,1003.328571,0.9,5.7,5.642857143,0,5.771428571,6.414285714,1.75,2.142857143,0.452011533,0.452011533,0,8.569090998,1.031604196,0.379314784
11/02/2013,2013,2,44,24,58,0.456315364,0,-0.45,0.141428571,6.6,4,5.3,6.8,6.8,30.1,188.2,94.9,999,5.9,6,6.1,0,6.4,6.6,3.1,0,0.276,0.276,0,5.641962813,1.171764403,0.498036817,8.657142857,3.785714286,6.228571429,5.514285714,12.51428571,36.91428571,358.4857143,85.47142857,1009.671429,1.885714286,5.271428571,5.257142857,1.185714286,5.714285714,6.5,1.857142857,2.485714286,0.543697959,0.543697959,0.138020647,5.058952411,0.927664333,0.296163759
18/02/2013,2013,2,58,47,70,0.456315364,0,-0.45,0.082714286,9.2,3.6,6.4,0,15.3,31.2,609.1,76.9,1009.9,0,5.5,5.9,0,6.8,7,1.8,5.1,0.982,0.982,1.673,2.280187917,0.227030417,0.108042636,9.514285714,4.914285714,7.214285714,2.885714286,11.42857143,28.85714286,305.4428571,86.77142857,1008.928571,0.742857143,6.457142857,6.385714286,0,6.5,6.8,1.9,1.428571429,0.498885928,0.498885928,0.386525821,5.22168683,0.816513006,0.342259973
25/02/2013,2013,2,25,14,27,0.456315364,0,-0.45,-0.871857143,8.1,-1.7,3.2,0,6.9,19.1,1028.1,70.7,1030.5,0,2.3,2.6,3,4.3,6.4,0,7.6,1.305,1.305,7.003,0.67104,0.14788535,0.073448757,6.442857143,0.314285714,3.385714286,0,9.771428571,22.64285714,551.1285714,72.52857143,1019.957143,0,3.414285714,3.871428571,2.585714286,5.4,6.8,-0.585714286,3.542857143,0.761426462,0.761426462,4.153118521,1.072895045,0.168105912,0.083223248
04/03/2013,2013,3,41,42,41,0.423382298,0,-1.61,-0.696714286,5.3,1.9,3.6,0,7.9,18.2,192.5,85.5,1007.1,0,5,5.4,5.4,6,6.4,1.5,0,0.39,0.39,10.663,0.493207083,0.131160626,0.065159122,7.7,2.885714286,5.285714286,0,5.657142857,15.61428571,423.3285714,84.46666667,1026.1,0,5.228571429,5.071428571,2.066666667,5.171428571,6.171428571,0.5,0.957142857,0.522947691,0.522947691,9.100077319,0.532232411,0.138325082,0.068168008
11/03/2013,2013,3,31,25,43,0.423382298,0,-1.61,-0.461142857,3.2,-1.4,0.9,0,10.6,26.6,890.5,53.4,1016.6,0,2.6,3.8,4.6,6.1,7,0,7.4,1.406,1.406,8.487,0.513215729,0.146617926,0.074896077,8.528571429,3.9,6.214285714,0.942857143,11.48571429,26.6,454.0285714,81.18571429,998.4857143,1.957142857,6.285714286,6.342857143,2.342857143,6.471428571,6.714285714,1.814285714,1.314285714,0.631934992,0.631934992,8.479729756,0.545634211,0.159925888,0.081497834
18/03/2013,2013,3,82,68,105,0.423382298,0,-1.61,-0.237,8.4,2.7,5.5,1.4,7.3,22.6,729.9,81.8,990.9,0,5.6,5.5,0,5.7,6.5,0,3.2,1.046,1.046,0,2.294314479,0.462776246,0.200128082,8.471428571,0.685714286,4.585714286,3.514285714,7.528571429,26.71428571,897.4714286,82.25,1001,0,4.828571429,4.857142857,1.471428571,5.528571429,6.585714286,0,3.557142857,1.039692534,1.039692534,2.524363437,1.590277217,0.466316773,0.157366073
25/03/2013,2013,3,70,66,82,0.423382298,0,-1.61,-1.349285714,3.6,1.1,2.4,0,12.3,28,223.9,68.5,1015.5,2.2,2.4,3.3,3.9,5.2,6.4,-0.2,0.2,0.544,0.544,1.601,1.673135833,0.193813326,0.096020129,5.985714286,1.857142857,3.928571429,2.942857143,13.52857143,31.11428571,412.1,79.08571429,1003.285714,1.557142857,4.357142857,4.685714286,4.042857143,5.557142857,6.485714286,1.042857143,0.842857143,0.654714921,0.654714921,0.841216897,2.38977311,0.415301979,0.184538321
01/04/2013,2013,4,55,45,45,0.536638673,0,0.69,-0.871285714,6.6,1.3,4,0,19.9,37.6,1252.4,61.3,1005.8,NA,3.9,3.9,4,4.5,5.9,-0.2,6,1.638,1.638,9.892,0.653451771,0.13147842,0.063218756,5.885714286,0.114285714,3.014285714,0,13.27142857,28.58571429,972.2714286,63.42857143,1009.757143,0,3.157142857,3.428571429,3.742857143,4.542857143,6.057142857,-0.685714286,3.757142857,1.184396277,1.184396277,5.962442914,0.895031458,0.145851607,0.071812079
08/04/2013,2013,4,21,24,24,0.536638673,0,0.69,-0.450428571,10.8,3.2,7,0,14.5,36,1219,62.3,998.7,0,6.7,6.6,0,6.3,6.3,1.9,4.5,1.589,1.589,22.254,0.399451875,0.117842644,0.056437287,7.742857143,1.542857143,4.628571429,0.085714286,10.41428571,23.91428571,1412.814286,63.81666667,1015.257143,0,5.542857143,6.142857143,2.457142857,5.714285714,6.014285714,-0.042857143,6.814285714,1.851682397,1.851682397,17.58440805,0.444110253,0.122099196,0.058478934
15/04/2013,2013,4,82,52,106,0.536638673,0,0.69,-0.802428571,15.4,6.8,11.1,4.6,14.2,56.5,1320.4,85.7,996.6,0,10.1,9.3,0,7.8,7.1,0,8,2.663,2.663,9.933,1.581124063,0.426417557,0.147607101,12.25714286,4.214285714,8.242857143,3.214285714,12.28571429,34.44285714,1019.014286,82.45,993.8,0,8.314285714,7.914285714,5.271428571,7.114285714,6.742857143,1.471428571,3.342857143,1.454218621,1.454218621,18.00274197,0.823082649,0.241088655,0.100637437
22/04/2013,2013,4,65,59,100,0.536638673,0,0.69,1.44,14.2,7.6,10.9,8.4,13.3,29.1,1145,89.9,1008.2,0,10.8,10.3,0,9.2,8.2,7.2,3.4,1.676,1.676,0,6.5655575,1.210146964,0.313636225,12.91428571,5.657142857,9.271428571,10.17142857,13.2,36.72857143,1390.7,81.83333333,1008.985714,0,9.9,9.557142857,1.214285714,8.714285714,6.685714286,1.028571429,4.357142857,1.781716765,1.781716765,1.741363614,7.533485506,1.562354044,0.479687663
29/04/2013,2013,4,73,76,97,0.536638673,0,0.69,1.554714286,8.3,5.4,6.8,2.7,18,41,116.4,73.7,1012.6,0,7,8.1,8.5,9.1,8.7,4,5.1,1.938,1.938,0.322,1.536974063,0.2823515,0.104609521,9.728571429,4.3,7.014285714,3.45,9.8,27.8,1247.466667,77.48,1017.566667,0,8.185714286,8.228571429,4.028571429,8.085714286,7.357142857,2.2,4.642857143,1.862302261,1.862302261,0.263299794,3.464429137,0.570521321,0.207171469
06/05/2013,2013,5,83,77,126,0.328634565,0,0.57,0.195571429,14.9,10.3,12.6,8.4,5.9,16.3,574.6,91.9,1012.1,0,11.6,11.1,0,10.1,0,9.1,0.2,1.065,1.065,0,26.43044823,2.883238894,3.372422277,12.77142857,6.685714286,9.728571429,5.628571429,9.814285714,25.34285714,1113.157143,87.16666667,1015.285714,0,10.68333333,10.38571429,4.933333333,9.657142857,5.014285714,5.185714286,2.457142857,1.490904881,1.490904881,0.647390966,9.052860328,1.728671472,0.853311563
