Bedford,Date,Station,Latitude,Longitude,Depth,density (CTD S & Lab T),CTD_Temp1,CTD_Temp2,CTD_Salt1,CTD_Salt2,TOxN to submit umol/l,TOxN to submit umol/kg,TOxN_Flag,Si_to submit umol/l,Si_to submit umol/kg,Silicate_Flag,Nitrite umol/l,Nitrite umol/kg,Nitrite_Flag,Phosphate_MI umol/l,Phosphate umol/kg,Phosphate_Flag,Nitrate umol/l,Nitrate umol/kg,Nitrate_Flag,,,,,
100090,30/04/2017,6,43.08816667,-48.8475,400.502,1024.626017,4.1855,4.186,34.8204,34.8226,17.25,16.83,2,10.15,9.90,2,<0.04,<0.04,2,1.13,1.10,2,17.21,16.79,2,,,,,
100091,30/04/2017,6,43.08816667,-48.8475,300.171,1024.520684,4.0657,4.0651,34.6823,34.6849,16.41,16.02,2,10.48,10.23,2,<0.04,<0.04,2,1.13,1.11,2,16.37,15.98,2,,,,,
100092,30/04/2017,6,43.08816667,-48.8475,200.302,1024.421994,4.5729,4.5778,34.5529,34.556,16.75,16.35,2,10.67,10.42,2,0.04,0.04,2,1.13,1.11,2,16.70,16.30,2,,,,,
100093,30/04/2017,6,43.08816667,-48.8475,148.761,1024.29357,4.5611,4.569,34.3845,34.3869,14.80,14.45,3,8.92,8.70,2,0.06,0.06,2,1.02,1.00,2,14.74,14.39,3,,,,,
100094,30/04/2017,6,43.08816667,-48.8475,98.698,1024.35046,6.0199,6.0211,34.4591,34.4611,11.48,11.21,2,6.32,6.17,2,0.12,0.12,2,0.83,0.81,2,11.36,11.09,2,,,,,
100095,30/04/2017,6,43.08816667,-48.8475,68.457,1024.270083,5.8096,5.8039,34.3537,34.3541,9.83,9.60,2,5.35,5.22,2,0.34,0.33,2,0.75,0.73,2,9.49,9.27,2,,,,,
100096,30/04/2017,6,43.08816667,-48.8475,50.75,1024.235463,5.9446,5.8763,34.3083,34.3049,9.00,8.78,2,4.59,4.48,2,0.38,0.37,2,0.71,0.69,2,8.62,8.42,2,,,,,
100097,30/04/2017,6,43.08816667,-48.8475,9.91,1023.739361,5.7012,5.7117,33.6576,33.6664,2.68,2.62,2,2.02,1.98,2,0.07,0.07,2,0.39,0.38,2,2.61,2.55,2,,,,,
100098,30/04/2017,7,43.05031333,-48.62693333,2458.176,1024.701456,2.9633,2.9639,34.9193,34.9199,17.14,16.72,2,14.17,13.83,2,<0.04,<0.04,2,1.13,1.10,2,17.10,16.68,2,,,,,
100099,30/04/2017,7,43.05031333,-48.62693333,2440.532,1024.701456,2.9669,2.9687,34.9193,34.9199,17.18,16.77,2,14.10,13.76,2,<0.04,<0.04,2,1.14,1.11,2,17.14,16.73,2,,,,,
